hangul,romanji,english,severity,type
강,kang,river,orange,noun (place)
호수,ho su,lake,orange,noun (place)
바다,pa ta,ocean,orange,noun (place)
가족,ka chok,family,orange,noun
음식,eem shik,food,orange,noun
오다,o ta,to come,orange,verb
쉬다,swi ta,to rest,red,verb
자다,cha ta, to sleep,orange,verb
점수,chOm su,grade (score),green,noun
겨울,kyO ul,winter,green,time
여름,yO reem,summer,green,time
봄,pom,spring,green,time
가을,ka eel,autumn,green,time
인기,in ki,popularity,orange,noun
차갑다,ccha kap ta,cold (obj),green,adjective
뜨겁다,gee kOp ta,hot (obj),green,adjective
넓다,nOlp ta,wide,red,adjective
좁다,chop ta,narrow,red,adjective
가게,ka ke,store,orange,noun (place)
조금 (좀),cho keem (chom),little (not very) or PLEASE,orange,adverb
아주,a chu,very (positive),orange,adverb
옷장,ot chang,wardrobe,green,noun
책장,cchaek chang,bookshelf,green,noun
신발장,shin pal chang,shoe cabinet,green,noun
샤워,sya uwo,shower,green,noun
체력 단련실,cche ryok tan ryon shil,fitness room,green,noun (place)
운동장,un tong chang,playground (stadium),orange,noun (place)
크다,kkee ta,big,orange,adjective
작다,chak ta,small,orange,adjective
많다,man ta,many,orange,adjective
적다,chOk ta,few,orange,adjective
덥다,tOp ta,hot,orange,adjective
춥다,cchup ta,cold,orange,adjective
좋다,chot ta,good,orange,adjective
나쁘다,na bee ta,bad,red,adjective
조용하다,cho yong ha ta,quiet,orange,adjective
시끄럽다,shi gee rOp ta,noisy,orange,adjective
영어,yOng O,english,orange,noun
극장,keek chang,theater,green,noun (place)
싸우다,sza u ta,to fight,green,verb
팝콘,ppap kon,popcorn,green,noun
춤을 추다,chum eel cchu ta,to dance,green,verb
바나나,pe na na,banana,green,noun
반,pan,class,green,noun
게임,ke im,game,orange,noun
카페,kka ppe,cafe,orange,noun (place)
공부(를)하다,kong pu leel ha ta,to study *not a noun,orange,verb
숙제,suk che,homework,orange,noun
시원하다,shi won ha ta,cool,green,adjective
복잡하다,pok chap ha ta,crowded,orange,adjective
아름답다,a reem tap ta,beautiful,orange,adjective
예쁘다,yO bee ta,pretty,orange,adjective
바쁘다,pa bee ta,busy,red,adjective
한가하다,han ka ha ta,free,orange,adjective
더럽다,tO rOp ta,dirty,orange,adjective
내리다,nae ri ta,to get off,red,verb
깨끗하다,gae geet ha ta,clean,orange,adjective
걷다,kOt ta,to walk,red,verb
받다,pat ta,to receive*,red,verb
친절하다,cchin chOl ha ta,kind,orange,adjective
재미있다,chae mi it ta,interesting,orange,adjective
재미없다,chae mi op ta,boring,orange,adjective
경치,kyOng cchi,scenery,orange,noun
생활,saeng hwal,life,green,noun
생선,saeng sOn,fish,orange,noun
남자,nam cha,male,orange,noun
여자,yO cha,female,orange,noun
식사,shik sa,meal,orange,noun
운동,un tong,exercise,orange,noun
일,il,work,orange,noun
아르바이트,a ree pa i ttee,part time job,orange,noun
혼자,hon cha,by myself,orange,particle
밥,pap,rice,orange,noun (food)
산책,san cchaek,walk (n.),orange,noun
등산,teeng san,hike (n.),orange,noun
이야기,i ya ki,story,orange,noun
아이,a i,kid,orange,noun
공원,kong uwon,park,orange,noun (place)
화장품,hwa chang ppum,makeup,green,noun
술을,sul eel,alcohol,orange,noun
전자,chOn cha,before,red,time
먼저,mOn chO,first,red,time
어느,O nee,which,orange,particle
나이,na i,age,green,noun
보내다,po nae ta,to send,red,verb
어떻다,O dOt,how,red,particle
무엇 (뭐),mu Ot (mu Ot TO muwO),what,red,particle
무엇을 (뭘),mu Ot (mu Ot sheel TO muwOl),what (action),red,particle
몇시,myOt shi,what (time),red,particle
칫솔,cchit sol,toothbrush,green,noun
치약,cchi yak,toothpaste,green,noun
얇다,yalp ta,thin,red,adjective
언제,On che,when,orange,particle
내일,nae il,tomorrow,orange,time
모레,mo re,day after tomorrow,red,time
지금,chi keem,now,red,time
가끔,ka geem,sometimes,red,time
자주,cha chu,often,orange,time
가다,ka ta,to go,orange,verb
콜라,kkol la,cola,orange,noun
값,kapt,value (money),orange,noun
왜,wae,why,orange,particle
근처,keen cchO,around,orange,particle
앞,app,front,orange,direction
뒤,twi,behind,orange,direction
아래,arae,under,orange,direction
위,uwi,over,orange,direction
안,an,inside,orange,direction
밖,pag,outside,orange,direction
옆,yOpp,beside,orange,direction
그럼,kee rOm,then,orange,particle
그리고,kee ri ko,and,red,particle
맛있다,mat shit ta,delicious,orange,adjective
맛없다,mat shOp ta,not delicious,orange,adjective
싣다,shit ta,to carry,red,verb
열심히,yOl shim hi,trying hardly,red,adverb
태권도,tae kuwOn to,taekwondo,red,noun
몇,myOt,what (counting ie time, ppl, pages),red,particle
이날,i nal,this day,red,particle
부터,pu ttO,since (from),orange,particle
까지,ga chi,until (to),orange,particle
보통,po ttong,usually,orange,time
잠깐만여,cham gan man yO,wait a moment,red,particle
번호,bOn ho,number,red,noun
공,kOng,00,red,number
일,il,01,red,number
이,i,02,red,number
삼,sam,03,red,number
사,sa,04,red,number
오,o,05,red,number
육,yuk,06,red,number
칠,cchil,07,red,number
팔,ppal,08,red,number
구,ku,09,red,number
십,ship,10 (for xx:10 exclude il),red,number
하나 (한),ha na (han),01,red,clock
둘 (두),tul (tu),02,red,clock
셋 (세),set (se),03,red,clock
넷 (네),net (ne),04,red,clock
다섯,ta sOt,05,red,clock
여섯,yO sOt,06,red,clock
일곱,il kop,07,red,clock
여덟,yo tOlp,08,red,clock
아홉,a hOp,09,red,clock
열,yOl,10,red,clock
스물 (스무),see mul,20,red,clock
오전,o chOn,morning (AM),red,clock
오후,o hu,afternoon (PM),red,clock
반,pan,half,red,clock
쪽,jok,page,red,number
대화(를)하다,tae hwa (leel) ha ta,to converse,orange,verb
분,pun,minute,orange,clock
시,shi,hour,orange,clock
저분,chO pun,person (that),orange,noun
이것,i kOt,this,orange,particle
그것,kee kOt,that (addressee close),orange,particle
저것,chO kOt,that (addressee far),orange,particle
여기,yO ki,here,orange,particle
거기,kO ki,there (addressee close),orange,particle
저기,chO ki,there (addressee far),orange,particle
하늘,ha neel,sky,green,noun
구름,ku reem,cloud,green,noun
공기,kong ki,air,green,noun
길,kil,road,green,noun
고기,ko ki,meat,green,noun
아침,a cchim,morning (n. breakfast),orange,clock
점심,chOm shim,afternoon (n. lunch),orange,clock
저녁,chO nyOk,evening (n. dinner),orange,clock
복습(을)하다,pok sheep (eel) ha ta,to review,red,verb
시험,shi hOm,test,orange,noun
예습(을)하다,e sheep (eel) ha ta,to study ahead,red,verb
시험(을)보다,shi hOm (eel) po ta,to take test,red,verb
고맙다,ko map ta,to thank,orange,verb
닫다,tat ta*,to close,red,verb
말(하다)(씀드리다),mal ha ta,to say,red,verb
피곤하다,ppi kon ha ta,tired,red,adjective
운전(을)하다,un chOn (eel) ha ta,to drive,red,verb
알다,al ta,to know,red,verb
모르다,mo ree ta,to not know,red,verb
명,myOng,# people,red,number
무슨,mu sheen,what (kind),orange,particle
좋아하다,cho a ha ta,to like,orange,verb
맵다,maep ta,spicy,red,adjective
만들다,man teel ta,to make,orange,verb
우리하다,u ri ha ta,to make,green,verb
냉면,naeng myOn,cold noodle,orange,noun (food)
불고기,pul ko ki,bulgogi,orange,noun (food)
비빔밥,pi pim pap,bibimbap,orange,noun (food)
삼계탕,sam kye ttang,samegyetang,orange,noun (food)
우동,u tong,udon,orange,noun (food)
초밥,ccho pap,sushi,orange,noun (food)
짬뽕,jam bong,champon,orange,noun (food)
자장면,cha chang myon,noodles,orange,noun (food)
피자,ppi cha,pizza,orange,noun (food)
샌드위치,saen tee uwi cchi,sandwich,orange,noun (food)
딸기,dal ki,strawberry,orange,noun (food)
사과,sa kOwa,apple,red,noun (food)
녹차,nok ccha,green tea,red,noun (food)
유자차,yu cha ccha,yuzu tea,red,noun (food)
달다,tal ta,sweet,red,food
멀다,mOl ta,far,red,adjective
길다,kil ta,long,red,adjective
무겁다,mu kOp ta,heavy,red,adjective
가볍다,ka pyOp ta,light,red,adjective
두껍다,tu gOp ta,thick,red,adjective
놀다,nol ta,to play,orange,verb
살다,sal ta,to live* (eso and e is ok),red,verb
열다,yOl ta,to open,red,verb
배가고프다,pae (ka*) ko ppee ta,hungry,red,adjective
시키다,shi kki ta,to command,red,verb
주문하다,chu mun ha ta,to order (food),green,verb
우산,u san,umbrella,red,noun
짜다,ja ta,salty,red,food
시다,shi ta,sour,red,food
주(다)(드리다),chu ta,to give,red,verb
삼겹살,sam kyOp sal,pork belly,orange,noun (food)
물건,mul kOn,thing,red,noun
개,kae,thing (bag),red,counting
판,ppan,piece,red,counting
잔,chan,cup,red,counting
줄,chul,roll,red,counting
병,pyOng,bottle,red,counting
그릇,kee reet,bowl,red,counting
마리,ma ri,# animals,red,counting
인분,in pun,serving,red,counting
김밥,kim pap,kimbap,red,noun (food)
맥주,maek chu,beer,orange,noun (food)
앉다,ant ta,to sit,red,verb
어디,O di,where,orange,particle
오늘,o neel,today,orange,time
며칠,myO cchil,what (date),red,particle
몇월,myOt uwOl,what (month),red,particle
어제,O che,yesterday,orange,time
그제,kee che,day before yesterday,red,time
주말,chu mal,weekend,orange,clock
지난,chi nan,last (time/ week),red,clock
이번,i pOn,this (time/ week),red,clock
다음,ta eem,next (time/ week),red,clock
다다음,ta eem,next next (time/ week),green,clock
올해,ol hae,this year,green,clock
금년,keem nyOn,this year,red,clock
작년,chak nyOn,last year,red,clock
내년,nae nyOn,next year,red,clock
주중,chu chuong,weekday,red,clock
평일,pyOng il,weekday,green,clock
시간,shi kan,time,red,clock
있다,it ta,to be,orange,verb
없다,op ta,to not be,orange,verb
층,cheeng,floor,red,number
수업,su Op,lesson,orange,noun
시작다,shi chak ta,start,red,adjective
시작하다,shi chak ha ta,to start,red,verb
약속,yak sok,appointment (promise),red,noun
지키다,chi kki ta,to keep,red,noun
끝나다,geet na ta,end,red,adjective
끝나하다,geet na ha ta,to end,red,verb
일어나다,il O na ta,to get up,red,verb
요일,yo il,day (of week),red,date
생일 (신),saeng il (shin),birthday,red,date
크리스마스,kkee ri see ma see,christmas,green,date
월,uwOl,month,red,date
일요일,il yo il,0 sunday,red,date
월요일,uwOl yo il,1 monday,red,date
화요일,hwa yo il,2 tuesday,red,date
수요일,su yo il,3 wednesday,red,date
목요일,mok yo il,4 thursday,red,date
금요일,keem yo il,5 friday,red,date
토요일,tto yo il,6 saturday,red,date
서다,sO ta,to stand,red,verb
웃다,ut ta,to laugh,red,verb
닦다,tag ta,to brush,red,verb
세수하다,se su ha ta,to wash face,red,verb
이,i,teeth,orange,noun
묻다,mut ta,to ask,red,verb
힘들다,him teel ta,exhausting,red,adjective
(그렇)지만,(kee rOt*) chi man,but,red,particle
축구,cchuk ku,soccer,red,noun (sports)
농구,nong ku,basketball,red,noun (sports)
요가,yo ka,yoga,red,noun (sports)
서핑,sO pping,surfing,red,noun (sports)
테니스,ttae ni see,tennis,red,noun (sports)
골프,kol ppee,golf,red,noun (sports)
탁구,ttak ku,ping pong,red,noun (sports)
스키,see kki,ski,red,noun (sports)
스케이트,see kke i ttee,skate,red,noun (sports)
스노보드,see no po tee,snowboard,red,noun (sports)
빌리다,pil ri ta,to borrow,red,verb
비싸다,pi sza ta,expensive,orange,adjective
싸다,sza ta,cheap,orange,adjective
짧다,jalp ta,short,red,adjective
빠르다,ba ree ta,to be fast,red,adjective
빨리,ba ri,fast,red,adverb
청소하다,cchOng so ha ta,to clean,red,verb
너무,nO mu,too (negative),red,adverb
많이,man i,many,red,adverb
여행하다,yo haeng ha ta,to travel,red,verb
빨래하다,bal rae ha ta,to laundry,red,verb
쇼핑하다,syo pping ha ta,to shop,orange,verb
데이트하다,te i ttee ha ta,to date,orange,verb
쉽다,swip ta,easy,red,adjective
어렵다,o ryOp ta,difficult (technical),red,adjective
반갑다,pan kap ta,nice to meet,red,adjective
귀엽다,kwi yOp ta,cute,red,adjective
백,paek,100,red,number
천,cchOn,1000,red,number
번,pOn,number (#),red,number
학년,hak nyOn,grade,green,noun
따르다,da ree ta,to follow,red,verb
일찍,il jik,early,red,time
일찍,il jik,early,red,adverb
늦게,neet ke,late,red,time
늦게,neet ke,late,red,adverb
과일,kOwa il,fruit,orange,noun
타다,tta ta,to ride,orange,verb
여러분,yO rO pun,everyone,orange,noun
호,ho,number (room),orange,number
그래서,kee rae sO,so then,red,particle
그럽다,kee rop ta,red,particle
잘,chal,well,orange,adverb
잘다,chal ta,to do well,orange,verb
단어,tan O,word,red,noun
못하다,mot ha ta,poor (bad),orange,adjective
돕다,top ta,to help,red,verb
요즘,yo cheem,recently,red,time
곱다,kop ta,pretty,red,adjective
아프다,a pee ta,sick,red,adjective
오래,o rae,long time,red,time
화장실,howa chang sil,restroom,red,noun (place)
정말,chOng mal,really,red,particle
비가 오다,pi ka o ta,raining,red,verb
손님,son nim,customer,red,noun
가깝다,ka gap ta,nearby,red,adjective
콘서트,kkon sO ttee,concert,orange,noun
잘못,chal mot,wrong,orange,particle
예매하다,ye mae ha ta,to reserve (ticket),red,verb
예약하다,ye yak ha ta,to reserve (appointment),red,verb
천천히,chOn chOn hi,slowly,red,adverb
표,pyo,ticket,red,noun
심심하다,shim shim ha ta,to be bored,red,adjective
글쎄요,keel sze yo,ummm well,red,particle
동물원,tong mul uwon,zoo,red,noun (place)
미술관,mi sul kwoan,art gallery,red,noun (place)
박물관,pak mul kwoan,museum,red,noun (place)
무섭다,mu sOp ta,to be scared,red,adjective
기구,ki ku,machine,red,noun
쯤,jeem,around,red,particle
모두,mo tu,every (all),red,particle
부모,pu mo,parents,red,family
되다,twe ta,to become,red,verb
생물학,saeng mul hak,biology,green,noun
고등,ko teeng,high (school),green,noun
아버지(아빠),a pO chi (a ppa),father,red,family
어머니(엄마),O mO ni (O ma),mother,red,family
누나,nu na,sister (older for m),red,family
형,hyOng,brother (older for m),red,family
오빠,o ppa,brother (older for f),red,family
언니,On ni,sister (older for f),red,family
여동생,yO tong saeng,sister (younger),red,family
남동생,nam tong saeng,brother (younger),red,family
(외)할아버지,hal a pO chi,grandfather (f side) m side,red,family
(외)할머니,hal mO ni,grandmother (f side) m side,red,family
역사,yOk sa,history,red,noun
바지,pa chi,pants,red,noun (clothes)
치마,cchi ma,dress,red,noun (clothes)
코트,kko ttee,coat,red,noun (clothes)
티셔츠,tti syO cchee,red,noun (clothes)
와이셔츠,owa i syO cchee,red,noun (clothes)
구두,ku du,shoes (heels),noun (clothes)
신발,sin bal,shoes,red,noun (clothes)
운동화,un tong hwa,sneakers,red,noun (clothes)
슬리퍼,seel ri pO,slippers,red,noun (clothes)
얼마,Ol ma,how much,red,particle
얼마나,Ol ma na,how long,red,particle
그래요,kee rae yo,really,red,particle
더,tO,more,red,adverb
똑같이,dOk kat i,same,green,adverb
장미,chang mi,rose,red,noun
권,kuwon,books,red,counting
벌,pOl,clothes,red,counting
장,chang,ticket,red,counting
송이,song i,rose/banana,red,counting
자두,cha tu,pencil,red,counting
켤레,kkyOl re,shoes,red,counting
향수,hyang su,perfume,red,noun
넥타이,nek tta i,necktie,red,noun
상품권,sang pum kuwon,gift card,red,noun
화장품,howa chang pum,cosmetics,red,noun
꽃다발,kot ta pal,bouqet,red,noun
액세서리,aek se sO ri,accessory,red,noun
인사(하다)(드리다),in sa ha ta,to say hello,red,noun
연락(하다)(드리다),yOn rak,to notify,red,noun
이따가,i da ka,later,red,particle
선물하다,sOn mul ha ta,to gift,red,verb
연습하다,yOn seep ha ta,to practice,red,verb
축하하다,chuk ha ha ta,to congratulate,red,verb
초콜릿,ccho kkol rit,chocolate,red,noun
고르다,ko ree ta,to pick,red,verb
풍선,pung sOn,balloon,red,noun
불다,pul ta,to blow,red,verb
자르다,cha ree ta,to cut,red,verb
케이크,kke i kkee,cake,red,noun
부르다,pu ree ta,to sing,red,verb
고르다,ko ree ta,to choose,red,verb
준비하다,chun pi ha ta,to prepare,red,verb
구경하다,ku kyOng ha ta,to sightsee,red,verb
매일,mae il,everyday,red,clock
설명하다,sOl myOng ha ta,to explain,green,verb
취미,cchuwi mi,hobby,red,noun
괜찮,koaen cchan,ok,red,particle
중,chung,middle,red,particle
장소,chang so,place,red,noun
곳,kot,place,red,noun
것,kOt,thing,red,noun
전화(하다)(드리다),chOn howa ha ta,to have a call,red,phone
전화를 걸다,chOn howa leel kOl ta,to call (dial),red,phone
전화가 오다,chOn howa ka o ta,call ringing,red,phone
전화를 받다,chOn howa leel pat ta,to receive call,red,phone
통화 중이다,ttung howa chung i ta,line busy,red,phone
전화를 바꾸다,chOn howa leel pa gu ta,to pass call,red,phone
전화를 끊다,chOn howa leel geen ta,to end call,red,phone
문자메시지를 보내다,mun cha me si chi leel po nae ta,to send message,red,phone
문자메시지를 받다,mun cha me si chi leel pat ta,to receive message,red,phone
파티,ppa tti,party,red,noun
_걸리다,kOl ri ta,to take _ amount of time,red,verb
편하다,pyOn ha ta,to be comfortable,red,adjective
지하철,chi ha cchOl,subway,red,transport
배,pae,ship,red,transport
기차,ki ccha,train,red,transport
버스,pO see,bus,red,transport
택시,ttaek shi,taxi,red,transport
자전거,cha chOn kO,bicycle,red,transport
오토바이,o tto pa i,motorbike,red,transport
고속버스,ko sok pO see,express bus,red,transport
공항버스,kong hang pO see,airport bus,red,transport
포크,po kkee,fork,orange,utensils
칼,kkal,knife,orange,utensils
숟가락,sut ka rak,spoon,orange,utensils
젓가락,chOt ka rak,chopsticks,orange,utensils
손,son,hand,orange,utensils
어떻게,O dO ke,how to?,red,particle
호선,ho sOn,(#) line,red,transport
노선표,no sOn pyo,subway map,orange,noun
역,yOk,station,red,transport
공항,kong hang,airport,red,transport
터미널,ttO mi nOl,terminal,red,transport
정류장,chOng ryu chang,route (stop),red,transport
갈아타다,kal a tta ta,to transfer,red,verb
도착하다,to cchak ha ta,to arrive,red,verb
출발하다,cchul pal ha ta,to depart,red,verb
(날)마다,ma ta,every (time, day),red,time
다르다,ta ree ta,different,red,adjective
서,chO,hey,red,particle
실례합니다(지만),sil re hamida (chi man),excuse me,red,particle
약국,yak kuk,pharmacy,orange,noun (place)
약,yak,medicine,orange,noun
미터,mi ttO,meter,red,direction
(센티)미터,sen tti mi ttO,centimeter,red,direction
(킬로)미터,kkil ro mi ttO,kilometer,red,direction
(사)거리,sa kO ri,(4-way) intersection,red,direction
똑바로,dok pa ro,straight,red,direction
왼쪽,owen jok,left,red,direction
오른쪽,o reen jok,right,red,direction
(이/그/저)쪽,this that thaaaat jok,side,red,direction
놀이 공원,nol i kong uwon,amusement park,red,noun (place)
보이다,po i ta,to be visible,red,verb
건너편,kOn nO pyOn,other side,red,direction
횡단보도,howeng tan po to,crosswalk,red,noun
건너다,kOn nO ta,to cross,red,verb
올라가(오)다,o ra ka ta,to ascend,red,verb
내려가(오)다,nae ryO ka ta,to descend,red,verb
육교,yuk kyo,overpass,red,noun
지하도,chi ha to,underpass,red,noun
들어가(오)다,teel O ka ta,to enter,red,verb
나가(오)다,na ka ta,to exit,red,verb
출구,chul ku,exit,red,noun
신호등,shin ho teeng,traffic light,green,noun
